Calendar_Year,Blind_Model,n,claims
2007,AH.164,12564,88
2007,AH.119,4251,26
2007,W.3,7680,60
2007,BW.107,10897,53
2007,BW.79,6938,35
2007,AU.58,53424,508
2007,BW.131,2697,16
2007,L.55,1017,7
2007,K.7,215223,1798
2007,AJ.52,51952,292
2007,BF.36,33779,349
2007,AO.21,3056,14
2007,BV.9,4485,27
2007,Q.22,35743,253
2007,AQ.17,42920,269
2007,BW.48,8238,41
2007,Y.9,41815,344
2007,BW.115,41529,230
2007,BP.6,8833,90
2007,K.60,18705,131
2007,AJ.40,44724,404
2007,BF.10,3503,34
2007,Y.34,53780,443
2007,AO.13,4051,23
2007,K.10,12041,117
2007,BW.167,27664,212
2007,AO.7,59534,543
2007,P.34,8026,47
2007,BW.174,2325,23
2007,BO.32,8401,55
2007,BV.24,13433,85
2007,Y.10,39914,340
2007,K.47,1271,0
2007,K.86,10361,81
2007,K.34,16037,115
2007,AH.69,6807,41
2007,BD.2,3754,29
2007,X.9,18421,155
2007,L.28,10565,66
2007,X.24,42842,414
2007,L.26,18348,151
2007,BP.18,6232,55
2007,BV.17,2156,5
2007,BW.13,5454,12
2007,BT.50,3163,9
2007,AU.14,114742,1071
2007,L.20,12575,104
2007,AU.11,70028,642
2007,W.16,83039,510
2007,AO.11,2204,7
2007,AU.34,9377,57
2007,Y.4,18790,103
2007,L.56,1817,10
2007,K.69,791,10
2007,Y.32,29172,222
2007,AJ.58,52176,394
2007,X.38,49682,396
2007,BZ.36,653,5
2007,X.28,9088,74
2007,AJ.122,34562,293
2007,AU.54,24398,159
2007,BU.1,10236,78
2007,BF.18,4461,29
2007,BT.43,18114,111
2007,BU.35,6031,58
2007,D.6,8455,52
2007,K.93,6340,37
2007,BO.52,23368,187
2007,W.10,2130,14
2007,AU.77,15849,166
2007,AY.37,5510,40
2007,BW.42,9430,88
2007,K.2,26926,219
2007,X.49,8616,61
2007,M.16,42790,324
2007,AJ.77,18374,96
2007,W.28,45791,250
2007,BP.24,6484,44
2007,R.27,12138,71
2007,BU.36,12335,81
2007,BO.44,17911,141
2007,AJ.112,6810,39
2007,BZ.32,708,2
2007,AJ.9,8098,40
2007,BU.3,5613,26
2007,AU.16,5205,42
2007,AH.106,5706,59
2007,AJ.129,48920,323
2007,K.13,13039,116
2007,AJ.59,12969,119
2007,AJ.76,8122,50
2007,P.33,5524,37
2007,AJ.17,9282,86
2007,K.62,9102,63
2007,BW.163,3823,14
2007,BW.95,34382,224
2007,AR.2,3922,29
2007,P.23,6313,39
2007,AU.49,9971,57
2007,BO.53,10408,66
2007,AU.73,2028,12
2007,BP.15,4713,28
2007,P.15,3199,20
2007,AR.1,12479,97
2007,AW.1,1343,8
2007,AR.41,17605,147
2007,L.29,41651,318
2007,L.49,16826,157
2007,AJ.64,4049,23
2007,AU.2,3210,23
2007,AJ.29,20019,128
2007,K.79,6829,34
2007,BO.38,68966,437
2007,AR.20,790,4
2007,AJ.54,21205,75
2007,Q.3,13173,109
2007,AZ.21,3901,24
2007,AU.27,11228,102
2007,AZ.17,573,4
2007,AO.1,40275,351
2007,AN.11,14974,124
2007,P.2,18393,153
2007,AJ.23,287,0
2007,AC.5,311,4
2007,L.21,1025,4
2007,BW.96,20905,144
2007,BW.3,36759,186
2007,BT.15,597,4
2007,R.30,22545,141
2007,K.3,38916,275
2007,AJ.42,9549,88
2007,AH.68,3157,30
2007,D.25,30786,226
2007,BW.156,23111,182
2007,BP.8,7706,73
2007,BO.71,1907,15
2007,BU.38,17129,103
2007,AJ.38,11135,103
2007,AJ.14,17659,109
2007,K.65,46349,314
2007,BO.35,14364,145
2007,AR.16,5956,32
2007,X.3,16193,121
2007,BP.20,1293,10
2007,BW.92,6059,56
2007,BT.11,2273,12
2007,AH.75,4254,28
2007,AY.23,2095,12
2007,AU.25,7385,57
2007,K.103,4118,30
2007,AY.47,1134,8
2007,P.10,842,11
2007,N.25,3014,19
2007,BW.176,17595,132
2007,AU.35,10705,79
2007,AX.4,11875,85
2007,W.11,4122,22
2007,W.4,31959,236
2007,BW.157,25448,151
2007,AH.101,4827,23
2007,AU.40,30894,255
2007,AH.36,1197,3
2007,BU.5,7478,41
2007,L.42,1579,8
2007,BY.4,5863,24
2007,AH.50,4061,18
2007,M.9,841,4
2007,L.14,11161,55
2007,BV.3,4002,29
2007,AH.40,774,4
2007,BO.36,31694,288
2007,AJ.48,28272,255
2007,AO.28,4308,33
2007,BW.112,19590,150
2007,O.19,5890,63
2007,AL.14,15013,92
2007,P.20,1328,10
2007,W.20,11259,114
2007,AL.42,6480,41
2007,Y.38,4687,22
2007,D.21,6838,46
2007,BW.49,13252,76
2007,BP.9,1265,8
2007,G.10,1240,12
2007,K.33,3659,21
2007,BW.168,10770,80
2007,BV.8,16395,122
2007,K.80,13805,110
2007,J.10,2121,13
2007,BV.2,63,0
2007,BH.20,9881,99
2007,K.40,10704,70
2007,BW.183,3602,13
2007,Y.21,11383,89
2007,AV.10,9662,101
2007,AH.8,7619,25
2007,BU.20,3021,12
2007,BH.18,31377,327
2007,G.8,1532,12
2007,AO.12,2249,16
2007,BW.1,808,5
2007,AJ.32,1872,13
2007,Y.36,5761,57
2007,Y.1,4810,50
2007,AC.3,2103,18
2007,BW.43,10220,60
2007,AJ.35,30808,229
2007,M.13,7134,45
2007,AJ.113,3350,13
2007,AH.100,3948,22
2007,BO.90,565,7
2007,BF.42,2977,18
2007,BV.11,5790,34
2007,AH.7,7913,57
2007,Q.36,2902,25
2007,BH.7,4698,39
2007,J.6,9007,55
2007,BZ.16,4589,29
2007,AH.168,9523,56
2007,P.27,287,0
2007,AR.17,1939,19
2007,AJ.49,27742,167
2007,X.57,1648,4
2007,AL.24,5256,30
2007,AL.33,4052,17
2007,Q.27,1296,7
2007,X.12,9161,43
2007,BO.47,20082,120
2007,AJ.123,25459,154
2007,K.51,7772,37
2007,AL.71,1333,11
2007,AN.2,9660,89
2007,BW.132,10249,49
2007,M.19,5715,38
2007,BW.57,2807,14
2007,BW.5,1542,10
2007,BW.166,4210,36
2007,AL.36,725,3
2007,AI.23,2414,31
2007,P.16,1885,12
2007,AV.9,1751,14
2007,K.78,9740,77
2007,AH.70,5897,39
2007,I.3,1410,5
2007,D.20,5927,61
2007,O.9,834,4
2007,BW.126,11982,77
2007,BT.63,14628,93
2007,AI.20,8911,47
2007,BZ.11,4396,39
2007,AJ.121,5552,23
2007,AQ.20,7358,47
2007,BZ.9,1412,8
2007,Q.40,4591,35
2007,BT.69,8480,47
2007,BO.3,4355,21
2007,BW.164,7990,44
2007,AI.2,3557,20
2007,N.8,6872,40
2007,P.36,6343,33
2007,O.10,11538,88
2007,N.26,803,7
2007,P.13,6489,44
2007,AI.17,5921,34
2007,AU.47,199,1
2007,AO.20,6905,47
2007,BH.11,4529,31
2007,AJ.89,3158,19
2007,AL.76,281,1
2007,AL.45,472,2
2007,BU.29,1412,6
2007,K.57,3231,16
2007,R.24,3455,22
2007,K.81,18477,118
2007,AN.12,1973,8
2007,BT.73,3541,18
2007,AL.16,3447,21
2007,AU.69,4086,32
2007,BW.69,7294,34
2007,BW.36,6750,48
2007,AH.107,2582,12
2007,BP.17,4296,49
2007,BB.11,834,4
2007,BF.20,3598,26
2007,P.35,5351,32
2007,Q.43,13936,97
2007,BG.19,3051,7
2007,J.7,5087,29
2007,BV.4,359,3
2007,BF.44,4151,37
2007,M.3,2059,10
2007,K.50,7527,31
2007,BH.29,7383,83
2007,Z.5,402,2
2007,AQ.32,3062,16
2007,BP.23,7395,71
2007,BZ.30,44,0
2007,AR.35,10436,66
2007,BO.72,3898,21
2007,K.92,9338,54
2007,AJ.37,444,6
2007,N.17,2661,18
2007,AH.125,3441,16
2007,AH.18,813,5
2007,AJ.5,3165,13
2007,AH.19,1657,7
2007,AJ.114,2084,14
2007,M.18,13046,98
2007,AZ.6,184,0
2007,BW.160,10578,78
2007,BB.12,2824,20
2007,K.63,7299,51
2007,BO.15,4860,12
2007,K.35,12440,81
2007,BH.16,258,1
2007,W.2,2858,12
2007,BF.29,1432,4
2007,AQ.19,3895,20
2007,AI.45,684,3
2007,K.46,909,7
2007,K.75,4137,17
2007,BO.20,1203,5
2007,BW.77,969,3
2007,BO.66,3767,19
2007,BF.31,2957,18
2007,BW.159,3271,21
2007,AL.72,2679,16
2007,Z.38,8773,71
2007,BZ.33,1189,15
2007,N.7,4264,41
2007,BH.12,2993,27
2007,K.31,4007,34
2007,AI.16,2634,17
2007,AH.6,5052,22
2007,D.11,803,7
2007,X.52,5330,30
2007,K.9,2496,15
2007,BF.28,76,0
2007,AJ.7,5287,32
2007,K.66,2927,13
2007,BT.10,1212,11
2007,AJ.44,1233,5
2007,BV.19,3276,22
2007,BU.31,891,4
2007,AR.25,3288,11
2007,AX.2,2089,10
2007,BW.81,3160,18
2007,AF.21,1143,7
2007,AH.52,735,3
2007,K.39,5495,43
2007,AQ.22,1241,10
2007,BW.32,1194,4
2007,AV.1,3269,20
2007,K.96,1657,12
2007,BW.125,2554,20
2007,K.15,1054,4
2007,AQ.31,3779,21
2007,AF.24,5115,33
2007,AH.67,1163,9
2007,AH.2,324,0
2007,AL.46,4504,24
2007,D.12,2255,8
2007,Y.5,2110,10
2007,BH.13,2746,13
2007,AU.1,3094,20
2007,K.11,4155,23
2007,R.20,9639,82
2007,BD.3,7250,37
2007,AJ.88,1691,9
2007,K.61,21314,136
2007,AQ.14,4760,23
2007,BP.21,406,3
2007,AL.101,957,2
2007,R.23,14362,104
2007,BV.20,6013,51
2007,AQ.39,5040,28
2007,BM.15,138,0
2007,AX.1,3798,15
2007,AF.12,421,2
2007,Y.2,3138,23
2007,BO.51,570,4
2007,AJ.15,2309,12
2007,BU.9,987,3
2007,BT.72,4013,13
2007,M.8,1151,7
2007,BW.58,2072,14
2007,AV.16,1082,5
2007,D.17,597,2
2007,N.11,245,1
2007,AL.88,1912,13
2007,BH.30,6159,48
2007,P.24,4815,31
2007,AJ.43,5723,43
2007,K.85,229,0
2007,BR.3,1214,6
2007,N.10,3290,20
2007,BV.6,2872,15
2007,BW.178,4134,37
2007,BF.39,1058,6
2007,AJ.36,805,2
2007,K.88,877,4
2007,AO.29,5751,29
2007,AO.33,2525,12
2007,BZ.14,3779,32
2007,AO.14,1255,9
2007,BV.21,550,3
2007,Q.16,1620,7
2007,AL.49,5044,17
2007,J.4,1940,12
2007,AR.5,3649,23
2007,BW.54,792,4
2007,Y.11,1680,13
2007,BZ.27,1710,13
2007,Q.15,1966,7
2007,BG.3,377,0
2007,BO.60,2236,17
2007,O.11,3783,23
2007,AC.1,784,4
2007,BW.72,443,0
2007,X.1,1419,8
2007,X.25,4770,27
2007,BF.35,2687,19
2007,AL.69,480,1
2007,BF.6,117,0
2007,AH.39,942,5
2007,BG.4,1867,0
2007,I.18,1530,10
2007,BW.6,637,5
2007,AJ.117,495,1
2007,I.11,462,1
2007,BG.16,974,2
2007,BW.172,538,5
2007,D.19,394,2
2007,AU.43,571,0
2007,BF.11,1310,6
2007,BU.10,542,3
2007,L.3,989,6
2007,BW.150,488,0
2007,K.74,8497,61
2007,AJ.85,2478,23
2007,AQ.24,42,0
2007,W.30,2579,14
2007,D.18,512,2
2007,L.6,3472,21
2007,AH.83,1002,8
2007,Y.40,936,6
2007,I.15,1609,8
2007,K.82,6883,45
2007,O.23,8299,52
2007,BW.34,1849,11
2007,AN.16,7050,68
2007,BB.3,1998,21
2007,AU.50,2100,11
2007,P.45,2315,7
2007,BW.40,2800,17
2007,R.32,3703,15
2007,BN.3,4766,38
2007,AL.60,482,5
2007,P.38,3159,18
2007,X.2,603,5
2007,I.24,2852,15
2007,AJ.19,823,6
2007,AR.40,365,5
2007,AH.43,488,3
2007,AL.5,1418,8
2007,AY.30,6934,49
2007,BO.9,311,3
2007,BY.6,2091,8
2007,G.9,577,0
2007,M.11,890,9
2007,AH.21,288,1
2007,AJ.55,1827,9
2007,?,3107,20
2007,K.24,1634,11
2007,AI.27,857,6
2007,BW.22,2104,13
2007,BO.89,70,0
2007,N.23,884,5
2007,BO.69,1597,12
2007,AJ.1,602,3
2007,R.15,2769,20
2007,J.1,590,4
2007,D.1,1450,11
2007,I.29,3673,20
2007,X.41,1662,5
2007,L.19,1531,18
2007,AZ.19,154,2
2007,BH.42,335,5
2007,W.23,741,2
2007,AH.81,2133,6
2007,AZ.28,656,3
2007,X.19,1320,2
2007,I.41,2078,10
2007,V.2,345,0
2007,AR.11,1973,13
2007,I.16,1379,10
2007,BW.60,2136,24
2007,AU.51,300,2
2007,I.14,4096,30
2007,AR.28,426,0
2007,AJ.27,1445,4
2007,AV.6,305,0
2007,N.19,133,0
2007,AU.8,2081,13
2007,X.15,23,0
2007,W.5,2697,7
2007,D.2,1570,13
2007,AR.45,2928,22
2007,AY.21,67,0
2007,AY.55,893,5
2007,AI.4,2587,24
2007,L.57,2990,13
2007,AF.4,913,6
2007,AF.16,481,1
2007,BN.2,226,3
2007,K.44,1829,15
2007,AL.13,919,5
2007,BW.17,4129,20
2007,R.18,896,4
2007,BT.31,901,4
2007,Z.43,582,2
2007,AH.28,491,3
2007,AN.3,1619,6
2007,AZ.22,1018,8
2007,AR.14,2361,17
2007,P.9,916,8
2007,AU.55,237,0
2007,AN.19,407,2
2007,AU.68,5821,41
2007,AQ.4,786,2
2007,N.22,1077,6
2007,K.52,3378,22
2007,R.1,837,1
2007,BT.13,806,0
2007,AL.103,395,0
2007,BW.61,1225,4
2007,R.48,3209,20
2007,AO.6,2080,23
2007,BT.29,78,0
2007,W.13,1117,3
2007,L.59,946,6
2007,W.29,650,4
2007,AH.60,51,0
2007,BB.6,1520,13
2007,BZ.40,327,1
2007,BW.37,871,8
2007,K.1,652,5
2007,L.1,491,2
2007,AU.75,730,3
2007,AL.7,452,3
2007,AJ.30,641,1
2007,P.1,410,5
2007,BV.13,561,4
2007,R.10,140,1
2007,AC.4,1289,12
2007,Z.31,332,2
2007,AR.32,314,1
2007,BO.58,3594,22
2007,Q.2,602,0
2007,AI.15,233,0
2007,AF.8,2167,13
2007,O.20,260,3
2007,AI.13,257,2
2007,BW.45,365,1
2007,R.29,509,4
2007,V.11,157,1
2007,AH.98,106,1
2007,R.17,1837,12
2007,W.8,637,0
2007,BP.10,605,4
2007,AL.9,123,0
2007,AR.36,1167,6
2007,BW.66,1423,5
2007,G.6,218,1
2007,BF.37,270,0
2007,BW.188,324,1
2007,BV.12,515,3
2007,K.12,2070,23
2007,AH.77,685,2
2007,BY.10,719,1
2007,W.9,367,0
2007,AL.31,1655,7
2007,AI.12,1276,5
2007,L.7,869,2
2007,BW.89,111,0
2007,BA.8,255,1
2007,BW.129,914,7
2007,BT.35,358,3
2007,AR.37,991,4
2007,L.15,909,7
2007,BW.155,699,1
2007,D.7,506,4
2007,BO.2,899,1
2007,AY.35,571,6
2007,BW.64,231,0
2007,BT.49,3592,23
2007,AC.2,775,7
2007,AL.23,724,6
2007,BW.51,833,2
2007,BO.17,34,0
2007,BW.9,344,0
2007,BZ.2,121,1
2007,BW.140,1,0
2007,BW.104,86,0
2007,AZ.1,1808,12
2007,AL.37,675,3
2007,X.46,249,0
2007,R.28,808,5
2007,AU.26,3944,25
2007,BO.84,184,0
2007,BW.154,561,2
2007,AW.4,510,3
2007,BW.76,227,1
2007,K.4,1030,3
2007,AY.38,247,2
2007,BW.185,212,0
2007,AJ.71,245,0
2007,BH.10,488,7
2007,AU.30,190,1
2007,AY.64,820,3
2007,K.70,339,1
2007,I.8,919,5
2007,BO.1,490,3
2007,BW.33,775,1
2007,AH.41,539,1
2007,K.77,1266,9
2007,P.25,855,0
2007,P.7,515,2
2007,BZ.28,544,7
2007,BY.13,1501,4
2007,AF.5,147,0
2007,L.13,951,3
2007,AZ.2,1061,6
2007,R.7,529,1
2007,BW.68,333,0
2007,K.58,281,1
2007,BU.39,114,1
2007,BO.39,1496,4
2007,AH.79,301,1
2007,Z.40,195,1
2007,R.22,1677,5
2007,AJ.82,27,0
2007,Y.22,461,3
2007,BO.76,605,3
2007,BZ.26,248,2
2007,AL.73,1196,10
2007,AO.5,871,7
2007,BW.118,44,0
2007,BV.33,1273,8
2007,L.43,389,4
2007,AR.3,790,1
2007,L.51,787,11
2007,AH.118,585,9
2007,AV.7,509,4
2007,Z.34,245,0
2007,Z.39,391,4
2007,BW.149,216,1
2007,AO.25,2712,28
2007,K.76,1703,9
2007,AH.74,300,1
2007,AL.77,1239,5
2007,BW.25,100,0
2007,W.18,49,0
2007,AU.12,104,1
2007,AQ.16,367,1
2007,AU.64,76,0
2007,BB.14,301,0
2007,AY.58,11,0
2007,AH.91,142,2
2007,E.9,62,0
2007,G.3,88,0
2007,BZ.23,228,0
2007,BM.4,324,4
2007,AI.49,42,0
2007,K.20,925,5
2007,AY.28,963,1
2007,AH.45,116,3
2007,BO.67,253,2
2007,BV.22,945,7
2007,K.17,201,3
2007,BF.30,230,2
2007,BF.8,464,4
2007,AZ.26,1544,15
2007,AV.14,115,0
2007,AY.5,24,0
2007,Z.14,128,0
2007,AN.7,472,2
2007,P.30,533,3
2007,AL.85,63,1
2007,BF.2,14,0
2007,BO.65,1438,11
2007,AR.18,391,0
2007,AL.6,885,7
2007,AI.48,377,0
2007,BO.100,1282,2
2007,AX.6,43,0
2007,K.28,1145,9
2007,AY.24,1444,7
2007,AH.122,230,2
2007,BO.98,355,1
2007,AH.17,1851,5
2007,BT.54,2983,16
2007,AQ.28,82,1
2007,R.39,203,2
2007,BT.16,236,2
2007,Z.8,476,6
2007,L.31,1422,11
2007,AN.5,1407,13
2007,AR.27,481,0
2007,AJ.3,111,0
2007,BT.25,55,0
2007,AF.15,250,0
2007,K.53,842,7
2007,AH.82,54,0
2007,Z.1,800,7
2007,BT.14,234,1
2007,AH.169,83,1
2007,AI.11,316,2
2007,O.2,860,12
2007,BV.10,144,3
2007,BH.22,1006,6
2007,Q.23,218,3
2007,AH.147,320,2
2007,BH.24,140,1
2007,W.14,248,0
2007,P.11,87,2
2007,X.21,1422,10
2007,BF.7,54,0
2007,BW.124,2,0
2007,AR.10,485,5
2007,AJ.94,13,0
2007,BO.25,403,1
2007,K.68,1369,6
2007,I.33,621,0
2007,BV.25,22,0
2007,R.43,156,0
2007,AR.43,276,1
2007,AQ.8,84,0
2007,AL.53,54,0
2007,BW.21,203,1
2007,BY.12,1013,4
2007,AH.156,296,1
2007,U.7,155,0
2007,AF.19,146,0
2007,R.31,1509,9
2007,K.22,301,2
2007,AZ.32,205,1
2007,BW.82,24,0
2007,BT.28,176,2
2007,AU.41,79,0
2007,AR.39,109,0
2007,BT.18,208,0
2007,AI.3,60,0
2007,Y.46,73,0
2007,BB.10,555,2
2007,AH.137,610,1
2007,AL.21,211,0
2007,W.6,151,1
2007,M.15,764,1
2007,I.34,372,2
2007,AH.170,467,4
2007,AJ.18,169,0
2007,BH.44,183,1
2007,BW.94,21,0
2007,BW.88,43,0
2007,Y.15,569,3
2007,BW.65,328,2
2007,AL.87,285,2
2007,M.10,336,0
2007,Z.27,264,1
2007,I.12,197,0
2007,AD.4,21,0
2007,AL.47,160,2
2007,AQ.11,282,0
2007,AZ.34,107,0
2007,AJ.12,60,0
2007,Y.47,89,0
2007,AL.70,169,1
2007,X.35,219,0
2007,BG.5,350,0
2007,BG.9,303,0
2007,Y.16,96,0
2007,AL.43,270,0
2007,BF.22,569,4
2007,AH.38,154,0
2007,BF.38,61,0
2007,BH.43,172,0
2007,AJ.106,33,0
2007,AQ.6,28,0
2007,AH.35,256,1
2007,Y.45,46,0
2007,AX.8,78,2
2007,Z.41,67,0
2007,AH.15,133,0
2007,AH.46,255,0
2007,AH.76,1495,10
2007,BO.23,224,2
2007,BG.14,245,0
2007,BO.94,73,0
2007,AY.26,586,3
2007,BT.1,135,0
2007,BU.8,25,0
2007,BG.22,446,1
2007,AY.36,500,3
2007,AZ.35,605,2
2007,N.20,99,0
2007,Q.20,14,0
2007,BO.82,93,0
2007,E.5,36,0
2007,BW.103,161,1
2007,BQ.7,36,0
2007,BW.52,166,0
2007,AL.107,50,0
2007,AL.82,57,0
2007,AL.63,159,0
2007,AH.9,52,1
2007,E.4,8,0
2007,E.28,21,0
2007,R.49,426,0
2007,AL.90,558,3
2007,R.4,237,1
2007,AN.14,211,3
2007,BM.17,18,0
2007,AY.65,444,4
2007,B.2,40,0
2007,BO.88,297,2
2007,BW.55,1,0
2007,AH.129,4,0
2007,BC.1,69,0
2007,AJ.124,95,0
2007,BO.104,222,0
2007,BM.16,81,0
2007,BH.40,5,0
2007,BT.23,170,1
2007,BF.4,16,0
2007,BW.44,29,0
2007,BT.21,49,0
2007,BW.29,39,0
2007,AY.9,56,0
2007,AQ.40,95,0
2007,AL.75,363,0
2007,BZ.38,43,0
2007,K.25,188,0
2007,P.8,366,3
2007,AU.36,274,1
2007,BW.63,301,2
2007,BW.28,79,0
2007,AO.10,600,2
2007,Q.19,105,0
2007,BO.50,327,3
2007,BM.1,22,0
2007,AU.60,105,1
2007,Z.45,138,0
2007,BP.22,204,2
2007,BT.4,258,0
2007,AH.65,158,1
2007,BO.18,347,1
2007,Q.25,149,0
2007,K.19,246,1
2007,K.91,168,1
2007,BZ.4,378,0
2007,S.1,106,0
2007,BG.17,48,0
2007,AY.44,166,0
2007,AH.148,947,5
2007,X.26,119,1
2007,BT.46,155,1
2007,Z.11,200,4
2007,BV.26,38,0
2007,AQ.43,109,0
2007,AU.66,69,0
2007,AZ.39,263,0
2007,BT.45,205,0
2007,X.36,64,0
2007,AL.64,328,3
2007,Y.48,45,0
2007,AU.37,37,0
2007,AJ.91,14,1
2007,BV.32,63,0
2007,BA.1,119,0
2007,Z.36,38,1
2007,AD.1,71,0
2007,L.10,13,0
2007,E.8,13,0
2007,G.4,178,0
2007,BM.2,16,0
2007,AL.17,221,0
2007,AU.42,49,0
2007,AY.18,35,0
2007,J.5,3,0
2007,AL.105,306,1
2007,AH.14,107,0
2007,BW.80,110,0
2007,AF.23,281,1
2007,V.6,21,0
2007,AH.55,44,0
2007,AX.5,37,0
2007,BB.7,312,4
2007,I.32,288,1
2007,AV.5,29,0
2007,AQ.2,131,2
2007,AY.13,103,1
2007,AU.19,12,0
2007,R.12,147,0
2007,K.48,155,0
2007,Q.39,107,2
2007,AH.92,17,0
2007,BW.14,31,1
2007,BW.27,238,0
2007,AY.62,66,0
2007,AL.38,314,0
2007,BU.22,102,1
2007,AH.99,2,0
2007,AL.18,69,1
2007,AL.19,68,1
2007,BW.70,123,0
2007,BT.40,23,0
2007,AE.7,19,0
2007,BW.84,18,0
2007,X.5,18,0
2007,AH.78,30,0
2007,L.35,91,0
2007,AL.67,374,1
2007,BO.24,29,0
2007,BO.102,82,0
2007,AY.43,699,2
2006,AR.17,1936,6
2006,AJ.123,24978,143
2006,AH.52,669,5
2006,AQ.22,995,4
2006,AH.6,5086,21
2006,K.1,701,3
2006,M.15,305,0
2006,BD.3,5583,38
2006,Y.39,65,1
2007,Y.39,63,0
2006,BY.6,1862,4
2006,K.11,3213,14
2006,AJ.30,370,2
2006,W.11,2202,10
2006,AQ.14,3167,14
2006,BU.20,3488,17
2006,Z.27,278,1
2006,BV.19,3872,30
2006,AJ.85,2358,10
2006,BF.8,629,6
2006,L.6,3515,30
2006,K.26,25,0
2007,K.26,22,0
2006,BO.32,7614,39
2006,X.2,657,2
2006,BT.11,2403,16
2006,L.31,1907,8
2006,AY.35,515,5
2006,AR.11,1628,9
2006,AH.50,3635,24
2006,AY.30,6963,38
2006,AL.7,464,0
2006,AH.17,1884,6
2006,V.11,178,1
2006,BM.20,24,0
2007,BM.20,24,0
2006,J.10,2076,10
2006,R.49,476,0
2006,AY.13,150,0
2006,AV.7,682,5
2006,L.15,940,2
2006,L.59,905,5
2006,BW.66,1476,1
2006,BU.39,111,1
2006,BP.9,1104,8
2006,BW.149,217,3
2006,M.3,333,1
2006,BG.5,223,1
2006,AH.67,1227,13
2006,AU.43,589,1
2006,BW.129,786,5
2006,AN.5,1527,6
2006,N.22,648,2
2006,AH.45,114,0
2006,BV.22,1091,6
2006,AC.2,893,7
2006,K.47,1390,11
2006,K.69,804,9
2007,I.35,129,1
2006,M.19,4918,27
2006,BU.29,1800,13
2006,BP.21,464,4
2006,K.66,2452,12
2006,AU.73,1640,9
2006,AL.69,561,3
2006,AQ.4,843,5
2006,AH.79,256,3
2006,BW.34,2200,6
2006,AL.5,1510,13
2006,BW.76,165,0
2006,BO.1,590,4
2006,Q.19,133,2
2006,Z.40,204,3
2006,AI.2,3852,23
2006,X.1,1584,11
2006,BW.57,2166,10
2006,BO.51,290,0
2006,AX.2,2406,9
2006,BO.2,1041,6
2006,AH.19,1615,8
2006,M.11,759,3
2006,AL.17,221,0
2006,AR.18,457,0
2006,AZ.2,986,7
2006,BF.38,58,0
2006,P.45,2067,8
2006,O.2,886,9
2006,K.15,1061,9
2006,AF.16,518,0
2006,AH.83,849,10
2007,AK.1,3,0
2007,BG.6,40,0
2007,D.24,189,4
2007,BF.32,155,0
2006,BZ.26,289,4
2006,AN.7,631,2
2006,BT.54,2173,12
2006,Y.48,61,1
2006,AL.101,946,5
2006,BT.14,243,0
2006,L.43,462,1
2006,BU.10,394,0
2006,K.52,3730,34
2006,BW.6,646,4
2006,AY.36,460,2
2006,AY.43,659,4
2006,AU.30,196,1
2006,BV.21,586,4
2006,L.42,1486,7
2006,AI.12,1432,7
2006,BH.24,133,0
2006,BO.104,208,0
2006,BV.4,408,3
2006,L.55,551,3
2006,K.9,829,1
2007,AQ.9,18,0
2006,BU.31,988,7
2006,P.10,770,2
2006,I.8,994,7
2006,BU.9,807,4
2006,BF.35,3084,36
2006,AJ.1,667,3
2006,BY.13,1637,9
2006,BT.23,188,3
2006,AI.48,287,0
2006,K.103,1806,15
2006,Y.11,1828,6
2006,BH.22,852,5
2006,BT.10,1304,4
2006,D.19,71,0
2006,V.2,421,4
2006,BF.30,138,2
2006,BO.100,1316,3
2006,AJ.36,112,0
2006,BF.37,370,0
2006,BT.16,255,2
2006,BO.11,167,0
2007,BO.11,146,0
2006,AY.28,750,4
2006,AY.64,807,6
2006,BT.31,958,4
2006,AI.16,1347,5
2006,AH.33,250,0
2007,AH.33,217,1
2006,L.51,871,4
2007,AL.110,43,0
2007,AR.31,2,0
2007,AH.143,173,0
2007,BW.186,22,0
2007,AH.97,154,0
2007,BZ.34,89,0
2006,K.24,1723,6
2006,BT.13,890,3
2006,R.34,112,1
2007,R.34,129,0
2006,AV.16,1439,5
2006,AH.65,174,0
2006,BW.27,196,0
2006,AL.77,790,7
2007,AL.92,89,1
2006,BO.9,385,0
2006,AH.40,655,3
2006,AD.1,91,0
2006,BW.51,841,6
2006,Y.47,122,0
2006,AF.21,1132,5
2006,AF.4,932,5
2006,AH.12,14,0
2007,AH.12,14,0
2006,L.21,310,1
2006,AH.143,144,1
2006,BO.66,3562,17
2006,AH.39,764,3
2006,BO.90,432,4
2006,X.6,29,0
2007,X.6,30,1
2006,AH.28,536,3
2006,AV.9,1953,15
2006,BP.20,928,9
2007,X.32,39,0
2007,AI.5,131,0
2007,AZ.31,7,0
2007,AH.42,95,0
2007,AU.61,11,0
2006,BW.35,51,0
2007,BW.35,38,0
2006,AH.41,376,2
2006,K.20,1137,6
2006,K.28,1379,10
2006,G.9,653,2
2007,AY.17,66,0
2006,AC.5,345,3
2006,R.28,190,2
2006,AR.39,124,1
2006,AL.75,231,0
2006,Q.27,900,4
2006,AO.21,952,3
2006,X.21,1072,8
2006,AJ.117,463,0
2006,W.13,314,2
2006,AR.3,985,6
2006,BO.25,416,2
2006,BA.8,220,0
2006,K.70,348,2
2006,BZ.36,653,7
2006,K.85,275,0
2006,N.10,2082,14
2006,BO.91,79,0
2007,BO.91,95,1
2006,BV.1,41,0
